Tactics,Sentence
Reconnaissance,"EXOTIC LILY may be acting as an initial access broker for other malicious actors, and has targeted a wide range of industries including IT, cybersecurity, and healthcare since at least September 2021."
Execution,Gallmaker is a cyberespionage group that has targeted victims in the Middle East and has been active since at least December 2017.
Defense Evasion,Gallmaker is a cyberespionage group that has targeted victims in the Middle East and has been active since at least December 2017.
Collection,Gallmaker is a cyberespionage group that has targeted victims in the Middle East and has been active since at least December 2017.
Initial Access,Gallmaker is a cyberespionage group that has targeted victims in the Middle East and has been active since at least December 2017.
Execution,"The group has mainly targeted victims in the defense, military, and government sectors."
Defense Evasion,"The group has mainly targeted victims in the defense, military, and government sectors."
Collection,"The group has mainly targeted victims in the defense, military, and government sectors."
Initial Access,"The group has mainly targeted victims in the defense, military, and government sectors."
Collection,LoFiSe has been used by ToddyCat since at least 2023 to identify and collect files of interest on targeted systems.
Discovery,LoFiSe has been used by ToddyCat since at least 2023 to identify and collect files of interest on targeted systems.
Persistence,LoFiSe has been used by ToddyCat since at least 2023 to identify and collect files of interest on targeted systems.
Privilege Escalation,LoFiSe has been used by ToddyCat since at least 2023 to identify and collect files of interest on targeted systems.
Defense Evasion,LoFiSe has been used by ToddyCat since at least 2023 to identify and collect files of interest on targeted systems.
Persistence,"ThreatNeedle is a backdoor that has been used by Lazarus Group since at least 2019 to target cryptocurrency, defense, and mobile gaming organizations."
Privilege Escalation,"ThreatNeedle is a backdoor that has been used by Lazarus Group since at least 2019 to target cryptocurrency, defense, and mobile gaming organizations."
Execution,"ThreatNeedle is a backdoor that has been used by Lazarus Group since at least 2019 to target cryptocurrency, defense, and mobile gaming organizations."
Command and Control,"ThreatNeedle is a backdoor that has been used by Lazarus Group since at least 2019 to target cryptocurrency, defense, and mobile gaming organizations."
Discovery,"ThreatNeedle is a backdoor that has been used by Lazarus Group since at least 2019 to target cryptocurrency, defense, and mobile gaming organizations."
Collection,"ThreatNeedle is a backdoor that has been used by Lazarus Group since at least 2019 to target cryptocurrency, defense, and mobile gaming organizations."
Defense Evasion,"ThreatNeedle is a backdoor that has been used by Lazarus Group since at least 2019 to target cryptocurrency, defense, and mobile gaming organizations."
Initial Access,"ThreatNeedle is a backdoor that has been used by Lazarus Group since at least 2019 to target cryptocurrency, defense, and mobile gaming organizations."
Persistence,It is considered to be an advanced cluster of Lazarus Group's Manuscrypt a.k.a.
Privilege Escalation,It is considered to be an advanced cluster of Lazarus Group's Manuscrypt a.k.a.
Execution,It is considered to be an advanced cluster of Lazarus Group's Manuscrypt a.k.a.
Command and Control,It is considered to be an advanced cluster of Lazarus Group's Manuscrypt a.k.a.
Discovery,It is considered to be an advanced cluster of Lazarus Group's Manuscrypt a.k.a.
Collection,It is considered to be an advanced cluster of Lazarus Group's Manuscrypt a.k.a.
Defense Evasion,It is considered to be an advanced cluster of Lazarus Group's Manuscrypt a.k.a.
Initial Access,It is considered to be an advanced cluster of Lazarus Group's Manuscrypt a.k.a.
Persistence,NukeSped malware family.
Privilege Escalation,NukeSped malware family.
Execution,NukeSped malware family.
Command and Control,NukeSped malware family.
Discovery,NukeSped malware family.
Collection,NukeSped malware family.
